DATE,SST_ANOM,TEMP,OLR,OLR ANOM,SOI
1870-01-01,-1.0,,,,
1870-02-01,-1.2,,,,
1870-03-01,-0.83,,,,
1870-04-01,-0.81,,,,
1870-05-01,-1.27,,,,
1870-06-01,-1.08,,,,
1870-07-01,-1.04,,,,
1870-08-01,-0.88,,,,
1870-09-01,-0.53,,,,
1870-10-01,-0.92,,,,
1870-11-01,-0.79,,,,
1870-12-01,-0.79,,,,
1871-01-01,-0.25,,,,
1871-02-01,-0.58,,,,
1871-03-01,-0.43,,,,
1871-04-01,-0.5,,,,
1871-05-01,-0.7,,,,
1871-06-01,-0.53,,,,
1871-07-01,-0.6,,,,
1871-08-01,-0.33,,,,
1871-09-01,-0.24,,,,
1871-10-01,-0.33,,,,
1871-11-01,-0.31,,,,
1871-12-01,-0.58,,,,
1872-01-01,-0.72,,,,
1872-02-01,-0.62,,,,
1872-03-01,-0.5,,,,
1872-04-01,-0.77,,,,
1872-05-01,-0.62,,,,
1872-06-01,-0.52,,,,
1872-07-01,-0.32,,,,
1872-08-01,-0.85,,,,
1872-09-01,-1.02,,,,
1872-10-01,-0.94,,,,
1872-11-01,-0.79,,,,
1872-12-01,-0.88,,,,
1873-01-01,-0.78,,,,
1873-02-01,-1.01,,,,
1873-03-01,-1.31,,,,
1873-04-01,-0.67,,,,
1873-05-01,-0.53,,,,
1873-06-01,-0.48,,,,
1873-07-01,-0.58,,,,
1873-08-01,-0.39,,,,
1873-09-01,-0.34,,,,
1873-10-01,-0.78,,,,
1873-11-01,-0.77,,,,
1873-12-01,-0.7,,,,
1874-01-01,-0.93,,,,
1874-02-01,-1.06,,,,
1874-03-01,-1.4,,,,
1874-04-01,-0.94,,,,
1874-05-01,-0.86,,,,
1874-06-01,-0.72,,,,
1874-07-01,-1.0,,,,
1874-08-01,-1.05,,,,
1874-09-01,-1.13,,,,
1874-10-01,-1.25,,,,
1874-11-01,-1.33,,,,
1874-12-01,-1.14,,,,
1875-01-01,-0.71,,,,
1875-02-01,-0.37,,,,
1875-03-01,-0.59,,,,
1875-04-01,-0.87,,,,
1875-05-01,-1.09,,,,
1875-06-01,-0.76,,,,
1875-07-01,-0.85,,,,
1875-08-01,-0.81,,,,
1875-09-01,-0.91,,,,
1875-10-01,-0.83,,,,
1875-11-01,-0.64,,,,
1875-12-01,-0.75,,,,
1876-01-01,-0.95,,,,
1876-02-01,-1.2,,,,
1876-03-01,-1.13,,,,
1876-04-01,-1.18,,,,
1876-05-01,-1.08,,,,
1876-06-01,-0.43,,,,
1876-07-01,-0.34,,,,
1876-08-01,-0.16,,,,
1876-09-01,-0.02,,,,
1876-10-01,0.11,,,,
1876-11-01,0.15,,,,
1876-12-01,0.23,,,,
1877-01-01,0.35,,,,
1877-02-01,0.46,,,,
1877-03-01,0.52,,,,
1877-04-01,0.5,,,,
1877-05-01,0.76,,,,
1877-06-01,0.98,,,,
1877-07-01,1.42,,,,
1877-08-01,1.54,,,,
1877-09-01,1.75,,,,
1877-10-01,1.95,,,,
1877-11-01,2.08,,,,
1877-12-01,2.49,,,,
1878-01-01,2.41,,,,
1878-02-01,2.43,,,,
1878-03-01,1.31,,,,
1878-04-01,0.92,,,,
1878-05-01,0.82,,,,
1878-06-01,0.92,,,,
1878-07-01,0.25,,,,
1878-08-01,-0.11,,,,
1878-09-01,-0.32,,,,
1878-10-01,-0.53,,,,
1878-11-01,-0.7,,,,
1878-12-01,-0.75,,,,
1879-01-01,-0.55,,,,
1879-02-01,-0.18,,,,
1879-03-01,-0.24,,,,
1879-04-01,-0.37,,,,
1879-05-01,-0.83,,,,
1879-06-01,-0.67,,,,
1879-07-01,-0.77,,,,
1879-08-01,-0.69,,,,
1879-09-01,-0.83,,,,
1879-10-01,-0.93,,,,
1879-11-01,-1.14,,,,
1879-12-01,-1.02,,,,
1880-01-01,-1.0,,,,
