,Original Data,Predictions
2009-01-01,-1.0,-0.85020626
2009-02-01,-0.71,-0.7257817
2009-03-01,-0.72,-0.7059859
2009-04-01,-0.25,-0.11963861
2009-05-01,0.17,0.42722473
2009-06-01,0.49,0.8290232
2009-07-01,0.69,0.93879306
2009-08-01,0.62,0.8122213
2009-09-01,0.68,0.8878625
2009-10-01,0.96,1.0812151
2009-11-01,1.49,1.6986252
2009-12-01,1.81,1.8496026
2010-01-01,1.43,1.4176092
2010-02-01,1.18,1.0392722
2010-03-01,1.07,1.2941867
2010-04-01,0.56,0.91718173
2010-05-01,-0.15,0.14387053
2010-06-01,-0.62,-0.34847665
2010-07-01,-0.89,-0.8799527
2010-08-01,-1.33,-1.0128704
2010-09-01,-1.56,-1.3577508
2010-10-01,-1.65,-1.5222749
2010-11-01,-1.57,-1.5268804
2010-12-01,-1.63,-1.5421258
2011-01-01,-1.7,-1.493613
2011-02-01,-1.26,-1.166386
2011-03-01,-0.98,-1.0446944
2011-04-01,-0.74,-0.30213213
2011-05-01,-0.53,-0.32705206
2011-06-01,-0.25,-0.16957383
2011-07-01,-0.23,-0.06238048
2011-08-01,-0.66,-0.28871107
2011-09-01,-0.76,-0.6147555
2011-10-01,-0.93,-0.6005477
2011-11-01,-1.09,-0.9761459
2011-12-01,-1.05,-0.8778532
2012-01-01,-0.93,-0.99343675
2012-02-01,-0.61,-0.33675152
2012-03-01,-0.48,-0.47539136
2012-04-01,-0.29,-0.117110185
2012-05-01,-0.18,0.0042839446
2012-06-01,0.14,0.5166087
2012-07-01,0.44,0.7712723
2012-08-01,0.66,1.2543321
2012-09-01,0.44,0.83319485
2012-10-01,0.23,0.22315408
2012-11-01,0.33,0.78831494
2012-12-01,-0.13,0.12201475
2013-01-01,-0.42,-0.39387113
2013-02-01,-0.4,-0.100208074
2013-03-01,-0.14,-0.07448481
2013-04-01,-0.08,-0.077511474
2013-05-01,-0.28,-0.13800639
2013-06-01,-0.33,-0.10755645
2013-07-01,-0.28,-0.10265608
2013-08-01,-0.29,-0.04171105
2013-09-01,-0.09,0.038003217
2013-10-01,-0.24,-0.05696064
2013-11-01,-0.02,-0.08467155
2013-12-01,-0.09,-0.12703045
2014-01-01,-0.42,-0.13240281
2014-02-01,-0.45,-0.1125126
2014-03-01,-0.07,0.024888506
2014-04-01,0.28,0.6909592
2014-05-01,0.45,0.84195745
2014-06-01,0.48,0.7851081
2014-07-01,0.13,0.082793035
2014-08-01,0.14,0.15093538
2014-09-01,0.37,0.8661887
2014-10-01,0.48,0.8721798
2014-11-01,0.89,1.032286
2014-12-01,0.77,1.0330185
2015-01-01,0.59,0.34488583
2015-02-01,0.57,0.31801823
2015-03-01,0.48,0.4498066
2015-04-01,0.9,1.1293405
2015-05-01,1.04,1.256199
2015-06-01,1.28,1.3960884
2015-07-01,1.56,2.019471
2015-08-01,1.87,1.9846368
2015-09-01,2.01,2.1046693
2015-10-01,2.21,2.1011221
2015-11-01,2.57,2.1012893
2015-12-01,2.56,1.9954692
2016-01-01,2.56,1.885821
2016-02-01,2.11,1.8861598
2016-03-01,1.6,1.8797542
2016-04-01,1.05,1.5276303
2016-05-01,0.45,0.6498728
2016-06-01,0.06,0.30754846
2016-07-01,-0.25,-0.25372842
2016-08-01,-0.48,-0.12890813
2016-09-01,-0.46,-0.14321972
2016-10-01,-0.75,-0.4920584
2016-11-01,-0.63,-0.060979128
2016-12-01,-0.51,-0.06293717
2017-01-01,-0.34,-0.0022980736
2017-02-01,-0.01,0.006992454
2017-03-01,-0.09,0.26054326
2017-04-01,0.22,0.29800332
2017-05-01,0.3,0.20660408
2017-06-01,0.22,0.30370754
2017-07-01,0.22,0.35861295
2017-08-01,-0.18,0.24802196
2017-09-01,-0.56,-0.078816764
2017-10-01,-0.52,-0.011045681
2017-11-01,-0.84,-0.42445076
2017-12-01,-0.85,-0.56472075
2018-01-01,-0.86,-0.7197429
2018-02-01,-0.73,-0.5839242
2018-03-01,-0.73,-0.46331257
2018-04-01,-0.36,0.009519969
2018-05-01,-0.12,0.15674856
2018-06-01,0.12,0.20674446
2018-07-01,0.27,0.77612436
2018-08-01,0.05,0.26113427
2018-09-01,0.3,0.34836257
2018-10-01,0.84,0.97583425
2018-11-01,1.0,0.9027168
2018-12-01,0.97,0.77993995
2019-01-01,0.75,0.5840092
2019-02-01,0.72,0.342633
2019-03-01,0.71,1.1075321
2019-04-01,0.66,0.6090511
2019-05-01,0.54,0.89075893
2019-06-01,0.45,0.5897642
2019-07-01,0.28,0.2886785
2019-08-01,0.14,0.19088963
2019-09-01,0.19,0.27584952
2019-10-01,0.35,0.6618002
2019-11-01,0.51,0.5160597
2019-12-01,0.55,0.31718704
2020-01-01,0.5,0.42330095
2020-02-01,0.48,0.6714619
2020-03-01,0.4,0.6417399
2020-04-01,0.19,0.37801254
2020-05-01,-0.08,0.066939496
2020-06-01,-0.3,-0.072381005
2020-07-01,-0.41,-0.31508398
2020-08-01,-0.57,-0.49657252
2020-09-01,-0.89,-0.5480595
2020-10-01,-1.17,-1.0054988
2020-11-01,-1.27,-0.82411534
